FishID,Species,Date,Season,TL,FL,Mass,Sex,GS,GW,Fat,GSI,ln(TL),ln(Mass),Predicted mass,Le Cren
MR058,P. blochii,15 September 2012,3,231,213,233.5921624,F,4,8.45349353,0,0.037547941,5.442417711,5.453576699,246.545752,0.947459692
MR059,P. blochii,01 July 2013,3,207,190,175.6478295,F,5,7.386406424,0,0.043898395,5.332718793,5.168481022,179.6914778,0.977496716
MR060,P. blochii,01 July 2013,3,213,197,209.4150209,F,6,13.88841625,0,0.071030826,5.361292166,5.344318029,195.1229598,1.073246434
MR061,P. blochii,28 July 2012,3,241,215,245.123258,F,4,9.397874988,1,0.039867896,5.484796933,5.501761178,278.5907815,0.879868518
MR063,P. blochii,12 August 2012,3,218,201,201.7093675,M,4,6.714578917,0,0.034434658,5.384495063,5.306827887,208.6239256,0.966856351
MR064,P. blochii,12 September 2012,3,230,211,246.6011802,F,5,13.45254567,0,0.05769944,5.438079309,5.507772377,243.4808322,1.01281558
MR065,P. blochii,13 August 2012,3,221,199,211.5243131,F,1,3.37357849,0,0.016207382,5.398162702,5.354339947,217.009807,0.974722368
MR067,P. blochii,15 September 2013,3,209,178,180.2232504,F,4,8.546507647,1,0.049782559,5.342334252,5.194196362,184.7431742,0.975534014
MR068,P. blochii,15 September 2013,3,225,204,218.9914082,F,5,10.33992482,0,0.049555961,5.416100402,5.389032497,228.5292408,0.958264279
MR069,P. blochii,26 August 2012,3,227,205,222.0996209,F,5,11.34465364,0,0.053828642,5.424950017,5.403126024,234.4356602,0.947379851
MR070,P. blochii,15 September 2013,3,216,202,218.6064139,F,6,13.81728677,0,0.067470803,5.375278408,5.387272916,203.1526971,1.076069464
MR071,P. blochii,26 August 2012,3,218,194,190.6786266,F,2,5.819797097,0,0.031482386,5.384495063,5.250589428,208.6239256,0.913982546
MR072,P. blochii,24 July 2013,3,232,208,207.8314971,F,5,12.2096964,0,0.062414804,5.446737372,5.336727641,249.6357631,0.832538954
MR157,P. blochii,24 July 2013,3,234,222,226.9699461,F,4,9.746577259,1,0.044868917,5.455321115,5.424817613,255.8914426,0.886977477
MR158,P. blochii,24 July 2013,3,241,226,288.1373061,M,4,20.84395707,2,0.077981578,5.484796933,5.663437124,278.5907815,1.034267195
MR160,P. blochii,24 July 2013,3,171,160,106.0289079,M,1,1.050925198,1,0.010010911,5.141663557,4.663711773,103.5808096,1.023634671
MR162,P. blochii,29 July 2012,3,227,207,259.0292976,F,5,10.55575504,0,0.042482411,5.424950017,5.556941174,234.4356602,1.104905702
MR163,P. blochii,24 July 2013,3,275,247,429.2580611,F,5,38.0798568,0,0.097346571,5.616771098,6.062058279,407.5969043,1.053143576
MR164,P. blochii,16 July 2013,3,235,212,248.4543386,F,3,6.201248449,1,0.025598222,5.459585514,5.515259081,259.0573028,0.95907097
MR165,P. blochii,16 July 2013,3,227,200,229.5555982,M,4,5.795738872,1,0.025901602,5.424950017,5.436145258,234.4356602,0.97918379
MR166,P. blochii,16 July 2013,3,208,193,199.228093,M,3,3.10410716,1,0.015827269,5.33753808,5.294450364,182.2058905,1.093422899
MR167,P. blochii,16 July 2013,3,266,240,366.9303748,M,6,39.34352946,1,0.120101066,5.583496309,5.905172116,370.3076223,0.990879887
MR168,P. blochii,16 July 2013,3,258,249,407.4468424,F,5,34.86271703,1,0.093570055,5.552959585,6.009910476,339.0963831,1.201566465
MR169,P. blochii,16 July 2013,3,241,226,266.8550881,F,5,12.1065025,0,0.047523335,5.484796933,5.58670577,278.5907815,0.957874796
MR170,P. blochii,16 July 2013,3,239,212,251.996785,F,5,13.70266779,1,0.057503173,5.476463552,5.52941633,271.9764476,0.926538997
MR171,P. blochii,16 July 2013,3,202,186,190.176175,M,4,7.955644192,1,0.043659428,5.308267697,5.247950879,167.459076,1.135657616
MR172,P. blochii,01 July 2013,3,207,197,191.3283015,F,4,3.287184702,2,0.017481202,5.332718793,5.253990809,179.6914778,1.06476002
MR173,P. blochii,01 July 2013,3,232,208,226.0013728,F,4,9.094074215,2,0.041926087,5.446737372,5.420541073,249.6357631,0.905324501
MR174,P. blochii,01 July 2013,3,190,170,153.7206044,F,3,4.041731372,1,0.027002684,5.247024072,5.035136697,140.3513513,1.095255607
MR175,P. blochii,29 May 2013,2,251,237,402.9031508,F,5,24.17697344,1,0.063837609,5.525452939,5.998696212,313.2406143,1.286241734
MR176,P. blochii,29 May 2013,2,227,208,254.2156856,F,4,11.51310874,1,0.04743711,5.424950017,5.538183063,234.4356602,1.084372938
MR177,P. blochii,29 May 2013,2,284,250,501.9396337,F,5,31.8626418,2,0.067781751,5.648974238,6.218479861,447.2569878,1.12226225
MR178,P. blochii,19 May 2013,2,219,200,190.6154757,M,5,14.42203726,0,0.08185343,5.38907173,5.250258182,211.395251,0.901701787
MR179,P. blochii,29 May 2013,2,221,205,234.7224679,F,5,13.55370906,1,0.061282204,5.398162702,5.458403828,217.009807,1.081621477
MR180,P. blochii,29 May 2013,2,229,213,251.0650087,M,5,23.89097804,1,0.105165973,5.433722004,5.525711904,240.4409076,1.044185913
MR181,P. blochii,13 September 2013,3,255,238,339.1553957,M,4,13.03953181,1,0.039984353,5.541263545,5.826458397,327.8512449,1.034479511
MR182,P. blochii,13 September 2013,3,223,213,242.7017972,F,4,18.39045599,1,0.081986296,5.407171771,5.491833518,222.7208798,1.089712816
MR183,P. blochii,26 August 2013,3,218,198,196.0763209,F,5,8.064606031,0,0.042894168,5.384495063,5.278503976,208.6239256,0.93985539
MR184,P. blochii,26 August 2013,3,281,260,393.7454426,F,6,19.18909687,1,0.051231536,5.638354669,5.975704616,433.7693091,0.907730064
MR185,P. blochii,26 August 2013,3,235,213,289.7088369,F,6,11.15902253,0,0.040061138,5.459585514,5.668876408,259.0573028,1.118319514
